date,count,dif,week,weeksum,ch,as,eu,af,am,au
20200412,912,,16,,,,,,,
20200413,929,17,16,,,,,,,
20200414,940,11,16,,,,,,,
20200415,955,15,16,,,,,,,
20200416,967,12,16,,,,,,,
20200417,983,16,16,,,,,,,
20200418,993,10,16,81,,,,,,
20200419,998,5,17,,,,,,,
20200420,1006,8,17,,,,,,,
20200421,1011,5,17,,,,,,,
20200422,1017,6,17,,,,,,,
20200423,1021,4,17,,17,112,442,3,446,1
20200424,1023,2,17,,17,112,442,3,448,1
20200425,1027,4,17,34,17,112,443,3,451,1
20200426,1037,10,18,,17,115,446,3,455,1
20200427,1044,7,18,,17,117,448,3,458,1
20200428,1056,12,18,,17,121,454,3,460,1
20200429,1061,5,18,,18,122,456,3,461,1
20200430,1065,4,18,,19,123,456,3,463,1
20200501,1073,8,18,,19,127,457,3,466,1
20200502,1081,8,18,54,19,129,460,3,469,1
20200503,1091,10,19,,19,133,462,3,473,1
20200504,1099,8,19,,19,139,461,3,476,1
20200505,1102,3,19,,19,140,462,3,477,1
