,ID,Comment
0,프로관전러 P.S,PS. ??? : 모르겠고 난 야스오 밴
1,유찬영,요즘 1티어챔프들이네요 확실히
2,김익명,까다로운 챔 특징: 겁나 어려움
3,Bald in the deep sea,아니 잠만 난 카서스 하면 풀켐 돌기도 전에 블루 스타트 해서 레드한테 처형 당하던데 카이팅 하려하면 리셋되고 :;
4,Ra_ co,니달리나 아칼리나 브실골플다가 못다루고 천상계만 잘한다는 공통점이 있음에도 아칼리만 적폐 취급 받고 관짝에 들어가는 신비한 롤세상.
5,2070 super,저런 하늘위에 하늘의 티어들의 밴률이 높은 챔피언들은 하위티어일수록 안쓰입니다 ㅋㅋ 왜냐면 쓸줄도 모르고 타게팅 스킬도 많아서 맞추지도 못하거든요 ㅋㅋ 하위 티어는 쉽고 무난한 챔프가 픽률이 높은듯
6,ch P,"니달리를 기본 교과서 배우듯 다뤄야 했던건 미드아닌가요?... 시즌 3,4 때 핵창 니달리로 설쳐댄거 어후.... 니달리 정글링 패치는 5시즌에 됬고 젤 많이 쓰인건 6시즌이었던 것 같음."
7,지우,야스오 포함 예상
8,성웅씨가_왜_그럴까,니달리는 브실에서 뽑으면 아군이 까다로워하지...
9,왜,"지하세계 필벤
다리우스 리신 야스오 미포 블츠
세트 엘리스 피즈 아펠 레오나"
10,777 Supersonic,니달리는 어딜가나 극찬받네
11,김규형,"ㅈ이 ㅈ트 ㅈ펠리오스 ㅈ나
신캐들 다들어가있네 에라이"
12,나다,브실골플이 까다로운챔은없나여
13,발싸,"우리 니달리 특
형 대리야?
ㄴㄴ
(야발)"
14,린정인정,1시간 되기전에 되기전에옴
15,소비에트연방,난 무조건 밴 트런들 오공 우디르 합니다.
16,카별Wanitalot,세나 q 궁이 에바임
17,H.K Kwon,또 정글은 리엘렉ㅋㅋㅋ 지겹다
18,black galbi,10:32 괴물쥐로 봤네
19,광조화성,천상계가 까다로워 하는 챔프라길래 순간 천상계가 더 못쓰는 챔프 말하는줄
20,최정우,세나가 아펠보다 밴률 높네 ㅎㄷㄷ
21,ro po,자크 좀 너프해라...
22,김선인,걍 세나 개사기 탑유저로써 세나 걍 해봤는데 초반부터 끝까지 개날먹임
23,군해파리,판테온 있다에 내 브론즈 계정 건다!
24,Lacrimosa,플레 이하에선 니달리가 그저 창녀일 뿐...
25,hyunmin y,혹시 티어별로 집가는 횟수를 통계내주실 수 있나요? 높은 티어일수록 딜교환을 더욱 신중히 하고 집을 덜 갈듯한데 결과가 어떨지 궁금하네요
26,개초코못생김,울팀 카서스 특 몬스터한테 D짐
27,지park,난닥다리벤
28,어둠의수확,다 숙련도가 많이 필요한 장인챔들이네요.우리들 티어에서는 대부분이 장인이 아닌 충들이니까 그리 걱정하지 않으셔도 됩니다.오히려 우리는 저런 것들 보다 같은 팀을 더 경계해야 합니다
29,EJ일렉자손,2020시즌.. 롤 엄청 오래된게임이군여
30,김경민,아펠까지 너프되면 원딜은 이제 미포같은거나 해서 궁 셔틀이나 하는 라인이 되는건가
31,bracket square,예전에 아칼리 많이해서 그런가 르블랑한테 줘터지고나서 르블랑벤만하는데
32,나얼은사랑입니다,나는 카서스 숙련도 7렙인 애를 정글로 상대했는데 ㅋㅋㅋ 아니 무슨 리신이 7렙일때 카서스가 9렙이야 성장속도 너무 오바임
33,930516이지은,니달리 잘하는 새끼 다2까지 본적없는데 가끔 부캐 만나면 씹털림
34,김김김,우린 이런거 상관없이 다리우스나 벤하자
35,Blue Star,진짜 그림자검이 서폿한테 너무 좋음 핑와지우려면 4대를 때려야하는데 혼자서 시야장악하다가 그 몇대가 부족해서 짤리는게 다반사고 한번에 못지우니 시야싸움에서 지고 들어가는데 그림자검을 가는 서폿들은 일반와드 한대 핑와 두대만 때려도 시야장악이 가능하기에 시야싸움이 너무 좋음
36,호에엥 흐에,우리가 천상계가 아닌데 알아서 뭐하지 ㅋㅋ루 빙봉봉
37,메쭉여웜 언냐들 국자해,리신 렉사이 나오려나
38,ᆞᆢ,"영상 만들어줘서 감사합니다
롤안해야지 근데 선긋는거 어뜨케함?"
39,민종,난 이걸 왜 보러온걸까..
40,진흙,난 상위권에서 쓰는거만 하는데 입문할때도 리신원챔으로 입문해서 리신 니달리 올라프 렉사이 엘리스 에코 그라가스만함 케인 이블린 이딴거 안함
41,진흙,왜 우리팀 미드는 op 조이 르블랑 이런거 안하고 막 아리 베이가 이딴거함?
42,내구독자수코로나안걸릴확률,아....제발...카직스 버프줘...내 카직스...카직스...
43,올AD말파,"심해 주요밴 요약
탑: 다리우스
정글: 마이 아니면 리신
미드: 야스오 아니면 피즈
바텀은 모르겠다 관심없어서"
44,김애옹,렉사이는 cuzz때문에(?) 위험성이 잘알려졌지 샤코급 ㅈ같은 방법의 갱킹 그렇다고 후반가서 할수있는게 아에없는애도아니고 원딜이 피지컬만 좋으면 개사기지...
45,어떤놈 _,0:48 어케맞춘겨 ㄷㄷ
